INDEX,YEAR,MN,DT,RF,week
42939,2015,1,1,0.0,1
42939,2015,1,2,9.4,1
42939,2015,1,3,0.0,1
42939,2015,1,4,0.0,1
42939,2015,1,5,0.0,1
42939,2015,1,6,0.0,1
42939,2015,1,7,0.0,1
42939,2015,1,8,0.0,2
42939,2015,1,9,0.0,2
42939,2015,1,10,0.0,2
42939,2015,1,11,0.0,2
42939,2015,1,12,0.0,2
42939,2015,1,13,0.0,2
42939,2015,1,14,0.0,2
42939,2015,1,15,0.0,3
42939,2015,1,16,0.0,3
42939,2015,1,17,0.0,3
42939,2015,1,18,0.0,3
42939,2015,1,19,0.0,3
42939,2015,1,20,0.0,3
42939,2015,1,21,0.0,3
42939,2015,1,22,0.0,4
42939,2015,1,23,0.0,4
42939,2015,1,24,0.0,4
42939,2015,1,25,0.0,4
42939,2015,1,26,0.0,4
42939,2015,1,27,0.0,4
42939,2015,1,28,0.0,4
42939,2015,1,29,0.0,5
42939,2015,1,30,0.0,5
42939,2015,1,31,0.0,5
42939,2015,2,1,0.0,5
42939,2015,2,2,0.0,5
42939,2015,2,3,0.0,5
42939,2015,2,4,0.0,5
42939,2015,2,5,0.0,6
42939,2015,2,6,0.0,6
42939,2015,2,7,0.0,6
42939,2015,2,8,0.0,6
42939,2015,2,9,0.0,6
42939,2015,2,10,0.0,6
42939,2015,2,11,0.0,6
42939,2015,2,12,0.0,7
42939,2015,2,13,0.0,7
42939,2015,2,14,0.0,7
42939,2015,2,15,0.0,7
42939,2015,2,16,0.0,7
42939,2015,2,17,0.0,7
42939,2015,2,18,0.0,7
42939,2015,2,19,0.0,8
42939,2015,2,20,0.0,8
42939,2015,2,21,0.0,8
42939,2015,2,22,0.0,8
42939,2015,2,23,0.0,8
42939,2015,2,24,0.0,8
42939,2015,2,25,0.0,8
42939,2015,2,26,0.0,9
42939,2015,2,27,0.0,9
42939,2015,2,28,0.0,9
42939,2015,3,1,24.4,9
42939,2015,3,2,38.1,9
42939,2015,3,3,0.0,9
42939,2015,3,4,0.0,9
42939,2015,3,5,0.0,10
42939,2015,3,6,0.0,10
42939,2015,3,7,0.0,10
42939,2015,3,8,0.0,10
42939,2015,3,9,0.0,10
42939,2015,3,10,0.0,10
42939,2015,3,11,0.0,10
42939,2015,3,12,13.3,11
42939,2015,3,13,0.0,11
42939,2015,3,14,0.0,11
42939,2015,3,15,0.0,11
42939,2015,3,16,3.8,11
42939,2015,3,17,0.0,11
42939,2015,3,18,0.0,11
42939,2015,3,19,0.0,12
42939,2015,3,20,0.0,12
42939,2015,3,21,0.0,12
42939,2015,3,22,0.0,12
42939,2015,3,23,0.0,12
42939,2015,3,24,0.0,12
42939,2015,3,25,0.0,12
42939,2015,3,26,0.0,13
42939,2015,3,27,0.0,13
42939,2015,3,28,0.0,13
42939,2015,3,29,0.0,13
42939,2015,3,30,0.0,13
42939,2015,3,31,0.0,13
42939,2015,4,1,0.0,13
42939,2015,4,2,0.0,14
42939,2015,4,3,0.0,14
42939,2015,4,4,0.0,14
42939,2015,4,5,0.0,14
42939,2015,4,6,0.0,14
42939,2015,4,7,0.0,14
42939,2015,4,8,0.0,14
42939,2015,4,9,0.0,15
42939,2015,4,10,0.0,15
42939,2015,4,11,0.0,15
42939,2015,4,12,0.0,15
42939,2015,4,13,2.8,15
42939,2015,4,14,5.6,15
42939,2015,4,15,0.0,15
42939,2015,4,16,2.2,16
42939,2015,4,17,0.0,16
42939,2015,4,18,0.0,16
42939,2015,4,19,0.0,16
42939,2015,4,20,0.0,16
42939,2015,4,21,0.0,16
42939,2015,4,22,0.0,16
42939,2015,4,23,0.0,17
42939,2015,4,24,0.0,17
42939,2015,4,25,0.0,17
42939,2015,4,26,0.0,17
42939,2015,4,27,0.0,17
42939,2015,4,28,0.0,17
42939,2015,4,29,0.0,17
42939,2015,4,30,0.0,18
42939,2015,5,1,0.0,18
42939,2015,5,2,0.0,18
42939,2015,5,3,0.0,18
42939,2015,5,4,0.0,18
42939,2015,5,5,3.4,18
42939,2015,5,6,0.0,18
42939,2015,5,7,0.0,19
42939,2015,5,8,0.0,19
42939,2015,5,9,0.0,19
42939,2015,5,10,0.0,19
42939,2015,5,11,0.8,19
42939,2015,5,12,0.0,19
42939,2015,5,13,0.0,19
42939,2015,5,14,4.2,20
42939,2015,5,15,0.0,20
42939,2015,5,16,0.0,20
42939,2015,5,17,0.0,20
42939,2015,5,18,0.0,20
42939,2015,5,19,0.0,20
42939,2015,5,20,0.0,20
42939,2015,5,21,0.0,21
42939,2015,5,22,0.0,21
42939,2015,5,23,0.0,21
42939,2015,5,24,0.0,21
42939,2015,5,25,0.0,21
42939,2015,5,26,0.0,21
42939,2015,5,27,0.0,21
42939,2015,5,28,0.0,22
42939,2015,5,29,0.0,22
42939,2015,5,30,0.0,22
42939,2015,5,31,0.0,22
42939,2015,6,1,0.0,22
42939,2015,6,2,0.0,22
42939,2015,6,3,0.0,22
42939,2015,6,4,0.0,23
42939,2015,6,5,0.0,23
42939,2015,6,6,0.0,23
42939,2015,6,7,0.0,23
42939,2015,6,8,0.0,23
42939,2015,6,9,10.0,23
42939,2015,6,10,0.0,23
42939,2015,6,11,0.0,24
42939,2015,6,12,0.0,24
42939,2015,6,13,4.5,24
42939,2015,6,14,2.5,24
42939,2015,6,15,5.4,24
42939,2015,6,16,17.2,24
42939,2015,6,17,1.9,24
42939,2015,6,18,6.4,25
42939,2015,6,19,3.8,25
42939,2015,6,20,25.0,25
42939,2015,6,21,48.8,25
42939,2015,6,22,48.2,25
42939,2015,6,23,19.3,25
42939,2015,6,24,0.0,25
42939,2015,6,25,11.8,26
42939,2015,6,26,0.0,26
42939,2015,6,27,0.0,26
42939,2015,6,28,0.0,26
42939,2015,6,29,0.0,26
42939,2015,6,30,0.0,26
42939,2015,7,1,0.0,26
42939,2015,7,2,0.0,27
42939,2015,7,3,0.0,27
42939,2015,7,4,0.0,27
42939,2015,7,5,0.0,27
42939,2015,7,6,0.0,27
42939,2015,7,7,0.0,27
42939,2015,7,8,0.0,27
42939,2015,7,9,0.0,28
42939,2015,7,10,1.2,28
42939,2015,7,11,0.0,28
42939,2015,7,12,1.9,28
42939,2015,7,13,6.2,28
42939,2015,7,14,0.0,28
42939,2015,7,15,0.0,28
42939,2015,7,16,0.0,29
42939,2015,7,17,0.0,29
42939,2015,7,18,2.5,29
42939,2015,7,19,0.8,29
42939,2015,7,20,0.0,29
42939,2015,7,21,22.4,29
42939,2015,7,22,0.0,29
42939,2015,7,23,54.8,30
42939,2015,7,24,41.4,30
42939,2015,7,25,92.0,30
42939,2015,7,26,0.0,30
42939,2015,7,27,0.0,30
42939,2015,7,28,0.0,30
42939,2015,7,29,8.9,30
42939,2015,7,30,1.0,31
